"car_travel_time","bike_travel_time","walk_travel_time","transit_travel_time","transit_headway","choice","av1","av2","av3","av4","numstops","triptime","waitime","cumdist","totalbikes","totalvehs","male","female","nocarlicence","greenlicence","fulllicence","trippurp1","trippurp2","trippurp3","trippurp4","trippurp5","trippurp6","trippurp7","trippurp8"
"30","74","247","247","0",4,1,1,1,1,"2","40","0","19.43","1","2",0,1,0,0,1,0,0,0,0,0,0,0,1
"30","59","233","233","0",4,1,1,1,1,"2","40","0","19.43","1","2",0,1,0,0,1,0,0,0,0,0,0,0,1
"45","155","550","117","120",4,1,1,1,1,"2","45","0","41.27","3","2",0,1,0,0,1,0,0,0,0,0,0,1,0
"47","130","289","117","110",4,1,1,1,1,"2","35","0","41.27","3","2",0,1,0,0,1,0,0,0,0,0,0,1,0
"45","155","550","117","120",4,1,1,1,1,"2","45","0","41.27","3","2",1,0,0,0,1,0,0,0,0,0,0,1,0
"47","130","289","117","110",4,1,1,1,1,"2","35","0","41.27","3","2",1,0,0,0,1,0,0,0,0,0,0,1,0
"45","155","550","117","120",4,1,1,1,1,"2","45","0","41.27","3","2",1,0,1,0,0,0,0,0,0,0,0,1,0
"47","130","289","117","110",4,1,1,1,1,"2","35","0","41.27","3","2",1,0,1,0,0,0,0,0,0,0,0,1,0
"45","155","550","117","120",4,1,1,1,1,"2","45","0","41.27","3","2",0,1,1,0,0,0,0,0,0,0,0,1,0
"47","130","289","117","110",4,1,1,1,1,"2","35","0","41.27","3","2",0,1,1,0,0,0,0,0,0,0,0,1,0
"20","65","313","110","100",4,1,1,1,1,"3","50","0","30.23","1","1",0,1,0,0,1,0,0,1,0,0,0,0,0
"18","49","300","67","100",4,1,1,1,1,"3","10","0","13.11","1","1",0,1,0,0,1,0,1,0,0,0,0,0,0
"24","45","153","78","20",4,1,1,1,1,"2","30","0","12.85","0","1",0,1,0,1,0,0,0,0,0,0,0,1,0
"18","41","149","57","20",4,1,1,1,1,"2","30","0","12.85","0","1",0,1,0,1,0,0,0,0,0,0,0,1,0
"13","23","161","66","20",4,1,1,1,1,"4","30","0","7.04","2","1",1,0,0,0,1,0,0,0,0,1,0,0,0
"13","25","152","62","20",4,1,1,1,1,"4","30","0","7.04","2","1",1,0,0,0,1,0,0,0,0,1,0,0,0
"13","23","161","66","15",4,1,1,1,1,"4","30","0","7.04","2","1",1,0,0,0,1,0,0,0,0,1,0,0,0
"13","25","92","62","20",4,1,1,1,1,"4","15","0","7.04","2","1",1,0,0,0,1,0,0,0,0,1,0,0,0
"13","23","161","66","20",4,1,1,1,1,"2","30","0","7.04","2","1",1,0,1,0,0,0,0,1,0,0,0,0,0
"13","25","152","59","20",4,1,1,1,1,"2","15","0","7.04","2","1",1,0,1,0,0,0,0,1,0,0,0,0,0
